(0.036621094+0.05810547j);(0.037597656-0.03125j)
(-0.0625+0.0146484375j);(0.018066406+0.040527344j)
(-0.068359375+0.0087890625j);(0.017089844+0.041992188j)
(-0.064941406+0.009277344j);(0.020507812+0.04296875j)
(-0.06689453+0.0063476562j);(0.0107421875+0.041503906j)
(-0.06591797+0.00048828125j);(0.017578125+0.046875j)
(-0.068847656+0.0024414062j);(0.009277344+0.0390625j)
(-0.068359375-0.00390625j);(0.0126953125+0.04638672j)
(-0.06591797-0.0063476562j);(0.0063476562+0.041015625j)
(-0.06738281-0.0073242188j);(0.0078125+0.046875j)
(-0.067871094-0.011230469j);(0.0043945312+0.04248047j)
(-0.06347656-0.018554688j);(0.0024414062+0.044921875j)
(-0.06738281-0.012207031j);(0.001953125+0.041992188j)
(-0.06542969-0.024414062j);(-0.00048828125+0.044433594j)
(-0.0625-0.018554688j);(-0.0048828125+0.045898438j)
(-0.06591797-0.025878906j);(-0.0043945312+0.03955078j)
(-0.061035156-0.025878906j);(-0.0048828125+0.049804688j)
(-0.06591797-0.032226562j);(-0.010253906+0.037597656j)
(-0.055664062-0.032226562j);(-0.0068359375+0.046875j)
(-0.0625-0.036621094j);(-0.013671875+0.03857422j)
(-0.0546875-0.037109375j);(-0.014160156+0.041503906j)
(-0.060058594-0.04345703j);(-0.014160156+0.040527344j)
(-0.05517578-0.0390625j);(-0.016113281+0.037597656j)
(-0.053710938-0.048828125j);(-0.01953125+0.041992188j)
(-0.05126953-0.04345703j);(-0.015625+0.03515625j)
(-0.048828125-0.053710938j);(-0.025390625+0.036621094j)
(-0.049316406-0.04638672j);(-0.018554688+0.03564453j)
(-0.041992188-0.05517578j);(-0.026855469+0.033691406j)
(-0.049804688-0.053222656j);(-0.025878906+0.03466797j)
(-0.038085938-0.057128906j);(-0.023925781+0.029296875j)
(-0.04296875-0.056640625j);(-0.032714844+0.034179688j)
(-0.03564453-0.06347656j);(-0.023925781+0.02734375j)
(-0.036621094-0.06201172j);(-0.036621094+0.030273438j)
(-0.030273438-0.0625j);(-0.023925781+0.027832031j)
(-0.032714844-0.064941406j);(-0.03857422+0.026367188j)
(-0.028808594-0.068359375j);(-0.026367188+0.024902344j)
(-0.023925781-0.068359375j);(-0.03955078+0.020019531j)
(-0.026855469-0.06640625j);(-0.033203125+0.023925781j)
(-0.016601562-0.072265625j);(-0.037597656+0.018554688j)
(-0.021484375-0.068359375j);(-0.03564453+0.020019531j)
(-0.013183594-0.072265625j);(-0.037109375+0.015136719j)
(-0.0126953125-0.072265625j);(-0.03857422+0.015136719j)
(-0.0107421875-0.07421875j);(-0.037109375+0.0146484375j)
(-0.0043945312-0.072265625j);(-0.041992188+0.0107421875j)
(-0.0073242188-0.07861328j);(-0.036621094+0.013183594j)
(-0.001953125-0.06738281j);(-0.040527344+0.005859375j)
(0.0009765625-0.08154297j);(-0.03857422+0.0073242188j)
(-0.001953125-0.06640625j);(-0.041503906+0.0053710938j)
(0.012207031-0.08251953j);(-0.04296875+0.0024414062j)
(0.00390625-0.07080078j);(-0.03466797+0.001953125j)
(0.014160156-0.07763672j);(-0.048339844-0.0014648438j)
(0.013183594-0.07324219j);(-0.03515625+0.00048828125j)
(0.015625-0.071777344j);(-0.04345703-0.0068359375j)
(0.022949219-0.07519531j);(-0.03955078-0.0053710938j)
(0.01953125-0.07128906j);(-0.04248047-0.0073242188j)
(0.026367188-0.072265625j);(-0.037597656-0.010253906j)
(0.026367188-0.07080078j);(-0.03955078-0.0126953125j)
